machine,os,utc-timestamp,app,peep_ms,peep_cycles,peep_size,nopeep_ms,nopeep_cycles,nopeep_size,clock_hz
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tc89ini2,1,18858,3840,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tc89init,1,29628,3584,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tc89pp,1,31002,2048,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tc89ptr,1,42063,3968,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tc89qual,1,25515,2304,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tc89size,1,28669,2816,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tc89swjt,1,32811,3840,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tc89uac,1,24785,3200,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tc99scpe,1,34376,4352,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tchess,1066,426445581,17536,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tcmp,8,3056714,9216,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tcmt99,1,24068,3072,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tcnstfld,1,27228,3200,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tcodegen,1,16981,3840,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tcrcfix,1,180328,7936,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tctxflt,1,412665,17920,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tctxops,1,135613,11392,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tctype,1,19704,3968,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tdecinit,1,20604,2432,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tdecl,1,35870,3072,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tdirent,2,482236,2816,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tdowhile,1,52074,2432,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tenum,1,23307,2432,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,terrno,2,331791,6400,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tesc,1,82918,8832,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,texec,1,135268,4608,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,texfile,1,185992,3328,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,texlog,1,21381,3840,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,texscan,1,75014,5120,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,texsort,1,48833,2688,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,texstrct,1,52311,2688,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tfarrsub,1,38434,4352,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tfio,1,119625,4736,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tfloat4,4,1505227,21248,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tfo,0,76588,5376,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tforblk,1,42532,5504,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tforsco,1,45124,5504,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tfpos,1,67814,5376,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tfreopen,7,70404,5248,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tgnarly,1,423630,5376,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tgoto,1,34694,2944,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tifcom,0,6890,1792,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tinitreg,1,29455,4352,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tioerr,1,206801,5888,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tkandr,1,25121,2560,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tkbd,102,20000096,2176,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tlcont,1,146117,2560,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tlimits,1,120138,2176,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tlog,4,1548021,7680,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tlong,3,990109,7552,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tlongaud,1,48769,5376,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tlongidx,1,107712,2944,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tlongopt,1,194357,15360,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tlongreg,1,71579,8960,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tlongsub,1,50159,5760,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tm,124,49638804,4224,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tmalloch,1,26715,3456,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tmathf,16,5957586,18048,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tmod3216,1,23546,3200,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tmuldiv,13,5310045,7168,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tmulpow2,1,15993,2560,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,toffset,1,24820,2176,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,too,5,1640639,19840,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tphi,4,1365183,5376,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tpi,248,99188427,3584,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tportio,1,33235,1920,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tpostfld,1,14226,2432,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tpostidx,1,16129,1920,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tpostinc,1,188327,2944,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tpostut,1,17464,2304,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tppifcom,0,6890,1792,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tppreg,1,18052,2176,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tpreproc,1,303724,2688,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tprintf,1,308043,5760,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tpromo,1,158657,11520,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tpromo2,2,773869,5376,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tpromo32,1,60935,6272,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tptrcnd,4,1782649,12288,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tptrdiff,1,24129,2176,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tptrlhs,3,752293,19968,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tptrrhs,4,1920859,34944,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tqsort,100,40285892,6272,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,treg,1,37626,4608,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tret,4,1204722,4736,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,triangle,1,53204,2560,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,trig,52,21077780,13696,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,trtl2,1,48150,6400,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,trw,1053,421050668,7040,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,trw2,9121,3647974785,7168,,,,400000000
